model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,PB/MLE,no_load,b,0.3372189952640638,0.048822528989500374,0,0,0.5573863639452119,0.730763095270159
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,PB/MLE,no_load,d,0.6056172615605673,0.050623949289231626,0.15657771341681856,0.31354219043312664,0.9433767584989242,1
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,PB/MLE,no_load,D,0.6186908287448221,0.02072434424419561,0.4822916666677137,0.5041713246290728,0.758333333272121,0.8093750018451571
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,PB/MLE,no_load,g,0.5331602513269764,0.05423396279770496,0.06166795840174966,0.22006197946900818,0.885858315380412,0.917592357441444
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,PB/MLE,load,b,0.5375986292770075,0.04994125490084235,0.17174329501429814,0.2266081868741487,0.8597916666697809,0.9195116054221906
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,PB/MLE,load,d,0.32071018886101993,0.12985090062295998,0,0,0.7501170535306505,0.9129357909303126
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,PB/MLE,load,D,0.20216862873523092,0.028162911090789923,0,0.01402294629729909,0.37708333333333377,0.4375000000030599
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,PB/MLE,load,g,0.673453928105791,0.05720169625754042,0.11872043739171251,0.20790051071716958,0.9612032074471655,1
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,asymptotic,no_load,b,0.3372189952640638,0.048822528989500374,0,0,0.5573863639452119,0.730763095270159
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,asymptotic,no_load,d,0.5971031976739983,0.049210854209547926,0.16369488220849215,0.3171981909520595,0.9323891463547596,1
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,asymptotic,no_load,D,0.6186908287448221,0.02072434424419561,0.4822916666677137,0.5041713246290728,0.758333333272121,0.8093750018451571
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,asymptotic,no_load,g,0.5236662897837517,0.05068982769143768,0.06754109729715442,0.23189694761694263,0.8797971628137838,0.9158900897864599
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,asymptotic,load,b,0.5375986292770075,0.04994125490084235,0.17174329501429814,0.2266081868741487,0.8597916666697809,0.9195116054221906
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,asymptotic,load,d,0.31959207984058496,0.07251425483870894,0,0,0.9000669312095207,1
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,asymptotic,load,D,0.20216862873523092,0.028162911090789923,0,0.01402294629729909,0.37708333333333377,0.4375000000030599
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,asymptotic,load,g,0.673453928105791,0.05720169625754042,0.11872043739171251,0.20790051071716958,0.9612032074471655,1
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,MPTinR,asymptotic,no_load,b,0.3716216216210984,0.031584533846008435,0.3097170728144355,0.33114441282374985,0.41209883041844697,0.4335261704277613
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,MPTinR,asymptotic,no_load,d,0.6096546718365383,0.04041462573957058,0.5304434609383145,0.5578612449490925,0.6614480987239841,0.6888658827347621
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,MPTinR,asymptotic,no_load,D,0.614583333333794,0.021883459322477473,0.5716925412045909,0.5865385517795414,0.6426281148880466,0.6574741254629971
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,MPTinR,asymptotic,no_load,g,0.5304324132248205,0.026705620105644,0.4780903596329495,0.49620778396959303,0.5646570424800479,0.5827744668166914
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,MPTinR,asymptotic,load,b,0.5663430420660481,0.01689037428415264,0.5332385167837075,0.5446971564595581,0.5879889276725382,0.5994475673483888
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,MPTinR,asymptotic,load,d,0.2631887096980275,0.11516868729369582,0.037462230455627965,0.11559409819507505,0.41078332120097993,0.48891518894042696
