model,dataset,pooling,package,method,type,focus,stat_obs,stat_pred,stat_df,p
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,PB/MLE,pb-G2,mean,89.95174525099793,NA,96,0.9241516966067864
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,asymptotic,G2,mean,89.95174525099793,NA,96,0.6545451634535422
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,MPTinR,asymptotic,G2,mean,15.0620478213541,NA,2,5.36188965913986e-4
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,TreeBUGS,simple,T1_G2,mean,0.693699047936621,0.4426273630386908,NA,0.175
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,TreeBUGS,simple,T2,cov,55.38055347039334,46.931957978820144,NA,0.33
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,TreeBUGS,simple,T1_G2,mean,18.74269161408645,11.903817200753863,NA,0.135
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,TreeBUGS,simple,T2,cov,NA,NA,NA,NA
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,trait,T1_G2,mean,0.5424555217608238,0.45213701132319983,NA,0.3485
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,trait,T2,cov,45.29647121964293,45.67313177050675,NA,0.51
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,beta,T1_G2,mean,0.6600763373619095,0.45277196560656535,NA,0.188
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,beta,T2,cov,75.13245222636719,46.34898796377086,NA,0.115
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,trait_uncorrelated,T1_G2,mean,0.6762576110407021,0.45241350871047153,NA,0.168
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,trait_uncorrelated,T2,cov,73.91657212339172,45.84472676595893,NA,0.121
