model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,PB/MLE,no_load,b,0.3372189953184061,0.04882252899829707,0,0,0.5573863641759245,0.7307630952552233
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,PB/MLE,no_load,d,0.5971032022129222,0.04921085374295269,0.16369488220849426,0.31719819088553924,0.9323891473032524,1
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,PB/MLE,no_load,D,0.6186908284579062,0.020724344253166018,0.4822916666669801,0.5041713247696205,0.7583333323413438,0.8093750035267829
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,PB/MLE,no_load,g,0.5406639339201614,0.053792709505767755,0.06166795840174964,0.2200619794689902,0.8858583807591152,0.9175923573732846
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,PB/MLE,load,b,0.5375986295996933,0.049941254889049595,0.17174329501799707,0.22660818713450293,0.8597916684119529,0.9195116054158758
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,PB/MLE,load,d,0.14533827303480895,0.08463443666279988,0,0,0.43815043275507615,0.5264198041245697
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,PB/MLE,load,D,0.20216862847828918,0.028162911046651095,0,0.014022946436487778,0.3770833333333851,0.43750000000088174
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,PB/MLE,load,g,0.6734539281026753,0.057201696253920124,0.11872043739172283,0.20790051087076522,0.961203207430352,1
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,MPTinR,asymptotic,no_load,b,0.3716216216214787,0.03158453384598655,0.3097170728148587,0.33114441282415824,0.4120988304187992,0.4335261704280987
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,MPTinR,asymptotic,no_load,d,0.6096546718360043,0.040414625739533416,0.5304434609378533,0.5578612449486061,0.6614480987234025,0.6888658827341552
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,MPTinR,asymptotic,no_load,D,0.614583333334425,0.02188345932242879,0.5716925412053173,0.5865385517802348,0.6426281148886153,0.6574741254635328
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,MPTinR,asymptotic,no_load,g,0.5304324132247609,0.026705620105640034,0.47809035963289764,0.4962077839695385,0.5646570424799833,0.582774466816624
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,MPTinR,asymptotic,load,b,0.5663430420708927,0.01689037428389438,0.5332385167890582,0.5446971564647336,0.5879889276770518,0.5994475673527272
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,MPTinR,asymptotic,load,d,0.2631887097507232,0.11516868730629737,0.037462230483625125,0.11559409823162123,0.4107833212698252,0.48891518901782127
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,MPTinR,asymptotic,load,D,0.19531250000360412,0.0290370138376033,0.13840099866331046,0.15810006946128335,0.23252493054592488,0.2522240013438978
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,MPTinR,asymptotic,load,g,0.7169203578668543,0.016916206381259978,0.6837652026045381,0.6952413670958749,0.7385993486378336,0.7500755131291704
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,TreeBUGS,simple,no_load,b,0.3770799350067654,0.02444263893527058,0.3292795889263792,0.34582772614366797,0.4080985727401347,0.4250904406919459
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,TreeBUGS,simple,no_load,d,0.5937681341496497,0.033483176678608124,0.5282099759006074,0.5510925342575596,0.6368833757359122,0.659325435109121
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,TreeBUGS,simple,no_load,D,0.5949133506259348,0.019477045336068158,0.5557424870602388,0.5699223198367267,0.6198995935548388,0.6322906142525346
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,TreeBUGS,simple,no_load,g,0.52129738476495,0.024238963431429842,0.473774061813527,0.4901892234577649,0.5522884083646714,0.5692754596089317
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,TreeBUGS,simple,load,b,0.5420417961808787,0.01584213264777289,0.5107967471437452,0.5216674657527214,0.5623880150672045,0.5728701639412282
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,TreeBUGS,simple,load,d,0.41048114991694334,0.0517721182003385,0.31076917073822014,0.3453540432968929,0.47656861343547197,0.514830566282559
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,TreeBUGS,simple,load,D,0.20980392908826706,0.02041200878931635,0.1704041782154934,0.18385424971239955,0.23614826796182628,0.250140106642692
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,TreeBUGS,simple,load,g,0.6660277808992217,0.015150207419030967,0.6364798183098187,0.6466126944036128,0.6853805782890663,0.6958100586384219
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,TreeBUGS,simple,no_load,b,0.3733717024193044,0.03131694151143853,0.3116756506356529,0.33290493215444433,0.41353160832700747,0.43426828445011895
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,TreeBUGS,simple,no_load,d,0.610779393158413,0.0402162124034099,0.5342924967669607,0.5592983942165166,0.6622427878160552,0.690465145494103
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,TreeBUGS,simple,no_load,D,0.6127467207920242,0.0218680412570812,0.5687951261179692,0.5840904629697962,0.6403682418854642,0.6544208437007168
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,TreeBUGS,simple,no_load,g,0.5301998135358214,0.026444822726946978,0.4791793681601849,0.4962316818645614,0.564190400199662,0.5822855885411182
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,TreeBUGS,simple,load,b,0.5670777949170521,0.01674815543246053,0.5329819536228965,0.5454158971406547,0.5880262710100568,0.5992066150585772
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,TreeBUGS,simple,load,d,0.27872013154129816,0.12020544360743726,0.06294167949223238,0.12979720527479116,0.4355558511138914,0.5407472125463406
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,TreeBUGS,simple,load,D,0.191334352535569,0.02934937554968438,0.1333861206142322,0.15319977745924768,0.22873598981313448,0.24789018085803038
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,TreeBUGS,simple,load,g,0.7163130761747525,0.016940874230666536,0.6829357947887676,0.6946654031275535,0.7378827990407809,0.749141002098391
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,trait,no_load,b,0.34106510069270835,0.05871320148742081,0.22341655000000002,0.2665077,0.41496180000000016,0.45473174999999977
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,trait,no_load,d,0.6165067989583334,0.06315948983423751,0.493613875,0.5379498,0.6963756999999999,0.7450564249999997
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,trait,no_load,D,0.6159068796875,0.024510489460685587,0.566354325,0.5846585000000001,0.6464145000000001,0.6622608499999999
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,trait,no_load,g,0.5232472361979167,0.06690977338173938,0.38727117499999997,0.43833710000000004,0.6075813000000001,0.6523271749999998
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,trait,load,b,0.5579829678125,0.05730042637420571,0.44422905,0.4854115,0.6293025000000001,0.6725443000000001
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,trait,load,d,0.2199375662221229,0.18810449771458013,0.0084655475,0.033912170000000005,0.4757123000000008,0.7470756749999969
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,trait,load,D,0.1660704655625,0.03987890399846026,0.08627078,0.1143871,0.21682140000000003,0.24309317499999997
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,trait,load,g,0.7141260952604167,0.07340113089726184,0.5570697499999999,0.6184977,0.8030944,0.8439078249999996
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,beta,no_load,b,0.3647422558333333,0.04535759013539327,0.27634255,0.3068302,0.42269660000000003,0.4545614749999999
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,beta,no_load,d,0.6053849280208333,0.04848079849350319,0.50869845,0.5439898,0.6670781,0.6996492
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,beta,no_load,D,0.6110101588541667,0.027146008281810064,0.5553554249999999,0.5760508,0.6450462,0.66248405
