model,dataset,pooling,package,method,type,focus,stat_obs,stat_pred,stat_df,p
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,PB/MLE,pb-G2,mean,89.95174525099807,NA,96,0.9201596806387226
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,asymptotic,G2,mean,89.95174525099807,NA,96,0.6545451634535383
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,MPTinR,asymptotic,G2,mean,15.06204782135319,NA,2,5.361889659142298e-4
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,TreeBUGS,simple,T1_G2,mean,0.699808445980554,0.44369858882930924,NA,0.1635
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,TreeBUGS,simple,T2,cov,55.14425316111857,47.56776634951391,NA,0.349
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,TreeBUGS,simple,T1_G2,mean,18.900005987834092,11.856167476516871,NA,0.129
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,TreeBUGS,simple,T2,cov,NA,NA,NA,NA
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,trait,T1_G2,mean,0.5438106624331976,0.43783256151947597,NA,0.329
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,trait,T2,cov,45.69643665741687,45.39346279930567,NA,0.494
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,beta,T1_G2,mean,0.6698097282641924,0.4532757507151146,NA,0.1925
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,beta,T2,cov,77.07055293835322,46.34762893146067,NA,0.1095
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,trait_uncorrelated,T1_G2,mean,0.6818858339977376,0.4526933500140823,NA,0.17
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,trait_uncorrelated,T2,cov,74.88063445936189,46.10822399414487,NA,0.1135
