model,dataset,pooling,package,method,condition,type,focus,stat_obs,stat_pred,stat_df,p
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,PB/MLE,no_load,pb-G2,mean,51.56947955604794,NA,48,0.3473053892215569
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,PB/MLE,load,pb-G2,mean,38.38226569494993,NA,48,0.9900199600798403
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,asymptotic,load,G2,mean,38.38226569494993,NA,48,0.8381236135385949
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,MPTinR,asymptotic,no_load,G2,mean,51.56947955604794,NA,48,0.33602051730434535
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,MPTinR,asymptotic,no_load,G2,mean,5.478959501179816,NA,2,0.06460394831785192
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,MPTinR,asymptotic,load,G2,mean,5.39507425052534,NA,2,0.06737123549270721
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,TreeBUGS,simple,no_load,T1_G2,mean,0.3574224941712498,0.22832184411089113,NA,0.238
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,TreeBUGS,simple,load,T1_G2,mean,0.3454909872385097,0.20671467519095982,NA,0.198
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,TreeBUGS,simple,no_load,T2,cov,32.20705449211306,22.907772657054565,NA,0.2055
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,no,TreeBUGS,simple,load,T2,cov,23.673960380953194,24.571022285800257,NA,0.5305
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,TreeBUGS,simple,no_load,T1_G2,mean,9.5287513709224,5.9391353688876025,NA,0.1945
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,complete,TreeBUGS,simple,load,T1_G2,mean,9.311190228497349,5.959481276437259,NA,0.1925
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,trait,no_load,T1_G2,mean,0.3067661792634556,0.22977790072014634,NA,0.3165
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,trait,load,T1_G2,mean,0.2359127380566311,0.2095961512241901,NA,0.4195
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,trait,no_load,T2,cov,22.599883539258453,21.3238420563896,NA,0.43
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,trait,load,T2,cov,22.609266598235443,24.463336116339047,NA,0.567
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,beta,no_load,T1_G2,mean,0.3505921153057175,0.2419950892416729,NA,0.2505
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,beta,load,T1_G2,mean,0.3213903660305219,0.21847007414026826,NA,0.2555
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,beta,no_load,T2,cov,26.681049200030774,21.33541992141447,NA,0.3085
2HTSM_Submodel4.eqn,Kuhlmann_dl7.csv,partial,TreeBUGS,beta,load,T2,cov,49.539774192596624,25.332497157645687,NA,0.119
