model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
2htm.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,Dn,0.3859933273311675,0.03681955577835996,0,0,0.7445422507772,0.9375371404743966
2htm.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,Do,0.6071587753471184,0.03584893258636738,0,0.00514916390887911,0.907274523396616,0.9654739589237415
2htm.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,dr1,0.23039747894369159,0.024366795481632234,0,0,0.48465511939536754,0.7023634101516966
2htm.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,dr2,0.8593310072534361,0.022535174304791544,0.34425991255984917,0.634130056821849,1,1
2htm.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,g,0.3407270982359638,0.028966249570435955,0.05876410430204271,0.12422828275148576,0.6862449630506318,0.8627917333852937
2htm.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,gn1,0.3027870856645168,0.03227539496793697,0,0,0.613601825535242,0.8638112542623532
2htm.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,gn2,0.6882970621209729,0.045580946193708186,0,0.025925918349596216,1,1
2htm.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,go1,0.35805033486477095,0.036249769335774534,0,0,0.7640901041017921,0.8937500228732649
2htm.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,Jaeger_2012,go2,0.48804854252651886,0.05518334697467274,0,0,1,1
2htm.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,Dn,0.37986644911956163,0.03674480744175883,0,0,0.7441198509372455,0.9368302744069559
2htm.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,Do,0.6124022871885383,0.03566289527405035,0,0.010298327817758175,0.9252168670924853,0.9652234277255629
2htm.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,dr1,0.23039747894369159,0.024366795481632234,0,0,0.48465511939536754,0.7023634101516966
2htm.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,dr2,0.8593310072534361,0.022535174304791544,0.34425991255984917,0.634130056821849,1,1
2htm.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,g,0.3407270982359638,0.028966249570435955,0.05876410430204271,0.12422828275148576,0.6862449630506318,0.8627917333852937
2htm.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,gn1,0.3027870856645168,0.03227539496793697,0,0,0.613601825535242,0.8638112542623532
2htm.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,gn2,0.6713156169912952,0.04264872851098205,0,0.048497519134809625,1,1
2htm.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,go1,0.37311204728941305,0.035958573127782126,0,0,0.7913783441787982,0.932000068185543
2htm.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,Jaeger_2012,go2,0.5030424854260148,0.047558212333392066,0,0,1,1
2htm.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,Jaeger_2012,Dn,0.28590742950906045,0.02696028448881293,0.23306624289803324,0.25135643471489444,0.32045842430322646,0.33874861612008766
2htm.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,Jaeger_2012,Do,0.7264504067914599,0.009484511952851566,0.7078611049529312,0.7142955156498565,0.7386052979330633,0.7450397086299886
2htm.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,Jaeger_2012,dr1,0.1919678407730955,0.008155493121889469,0.17598336797802802,0.18151615579494984,0.20241952575124117,0.207952313568163
2htm.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,Jaeger_2012,dr2,0.8896281945328073,0.00805298695238327,0.8738446301381652,0.8793078764966703,0.8999485125689443,0.9054117589274494
2htm.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,Jaeger_2012,g,0.23170395808174193,0.011509641160467023,0.20914547593224678,0.21695375943368883,0.24645415672979504,0.25426244023123706
