model,dataset,pooling,package,method,type,focus,stat_obs,stat_pred,stat_df,p
2htm.eqn,Jaeger_2012.csv,no,MPTinR,PB/MLE,pb-G2,mean,84.87219729243415,NA,63,0.05389221556886228
2htm.eqn,Jaeger_2012.csv,no,MPTinR,asymptotic,G2,mean,84.87219729243415,NA,63,0.03454419470288873
2htm.eqn,Jaeger_2012.csv,complete,MPTinR,asymptotic,G2,mean,17.813221570384485,NA,1,2.4368403390614238e-5
2htm.eqn,Jaeger_2012.csv,no,TreeBUGS,simple,T1_G2,mean,0.780808434183806,0.1382369996200039,NA,0
2htm.eqn,Jaeger_2012.csv,no,TreeBUGS,simple,T2,cov,62.65049034463547,29.40805651511692,NA,0.006
2htm.eqn,Jaeger_2012.csv,complete,TreeBUGS,simple,T1_G2,mean,26.796678436685877,9.793135147551121,NA,0.0045
2htm.eqn,Jaeger_2012.csv,complete,TreeBUGS,simple,T2,cov,NA,NA,NA,NA
2htm.eqn,Jaeger_2012.csv,partial,TreeBUGS,trait,T1_G2,mean,0.5338533538835337,0.14149000866493303,NA,0.027
2htm.eqn,Jaeger_2012.csv,partial,TreeBUGS,trait,T2,cov,46.28548393165002,29.56716760841269,NA,0.1205
2htm.eqn,Jaeger_2012.csv,partial,TreeBUGS,trait_uncorrelated,T1_G2,mean,0.33960234770866216,0.14183961997391448,NA,0.0285
2htm.eqn,Jaeger_2012.csv,partial,TreeBUGS,trait_uncorrelated,T2,cov,59.47992401244839,29.778079462453558,NA,0.021
