"","OLD_3new","OLD_2new","OLD_1new","OLD_1old","OLD_2old","OLD_3old","NEW_3new","NEW_2new","NEW_1new","NEW_1old","NEW_2old","NEW_3old","exp","id"
"112",3,5,1,2,18,31,29,16,2,1,8,4,"Jaeger_2012","1:Jaeger_2012"
"113",3,2,4,8,7,36,30,17,3,3,4,3,"Jaeger_2012","2:Jaeger_2012"
"114",1,5,9,13,10,22,7,23,16,6,4,4,"Jaeger_2012","3:Jaeger_2012"
"115",0,1,0,2,2,55,10,37,8,3,0,2,"Jaeger_2012","4:Jaeger_2012"
"116",3,7,6,5,4,35,27,13,12,3,0,5,"Jaeger_2012","5:Jaeger_2012"
"117",0,2,5,11,17,25,6,23,28,3,0,0,"Jaeger_2012","6:Jaeger_2012"
"118",1,7,7,6,13,26,11,27,16,2,2,2,"Jaeger_2012","7:Jaeger_2012"
"119",0,7,12,17,16,8,0,26,26,6,2,0,"Jaeger_2012","8:Jaeger_2012"
"120",2,2,5,7,12,32,28,15,9,6,1,1,"Jaeger_2012","9:Jaeger_2012"
"121",0,5,0,4,16,35,8,44,2,1,5,0,"Jaeger_2012","10:Jaeger_2012"
"122",0,7,11,13,5,24,7,34,17,1,1,0,"Jaeger_2012","11:Jaeger_2012"
"123",3,1,0,0,0,56,49,9,0,0,0,2,"Jaeger_2012","12:Jaeger_2012"
"124",2,4,3,2,3,46,21,12,16,3,4,4,"Jaeger_2012","13:Jaeger_2012"
"125",0,4,19,12,6,19,17,15,18,7,2,1,"Jaeger_2012","14:Jaeger_2012"
"126",0,2,0,8,20,30,18,26,12,3,1,0,"Jaeger_2012","15:Jaeger_2012"
"127",2,6,9,8,11,24,10,24,14,7,5,0,"Jaeger_2012","16:Jaeger_2012"
"128",1,3,6,8,19,23,18,28,5,3,5,1,"Jaeger_2012","17:Jaeger_2012"
"129",3,3,2,1,15,36,19,26,2,2,7,4,"Jaeger_2012","18:Jaeger_2012"
"130",2,1,0,0,10,47,29,18,0,1,5,7,"Jaeger_2012","19:Jaeger_2012"
"131",1,15,5,11,18,10,6,34,6,3,6,5,"Jaeger_2012","20:Jaeger_2012"
"132",4,14,4,4,14,20,18,23,12,1,5,1,"Jaeger_2012","21:Jaeger_2012"
"133",3,0,0,2,4,51,45,5,0,5,3,2,"Jaeger_2012","22:Jaeger_2012"
