model,dataset,pooling,package,method,condition,parameter,est,se,ci_0.025,ci_0.1,ci_0.9,ci_0.975
PM.eqn,Smithetal2011_groups.csv,no,MPTinR,PB/MLE,low_WM,C1,0.9381759725254067,0.007099355299585137,0.7613970625911302,0.8659834545781672,1,1
PM.eqn,Smithetal2011_groups.csv,no,MPTinR,PB/MLE,low_WM,C2,0.9392928611345501,0.0059635870484234564,0.7903225760726016,0.8375644557478836,1,1
PM.eqn,Smithetal2011_groups.csv,no,MPTinR,PB/MLE,low_WM,M,0.6547898193071494,0.03559602289238357,0,0,1,1
PM.eqn,Smithetal2011_groups.csv,no,MPTinR,PB/MLE,low_WM,P,0.7564476620824889,0.030228560831590198,0,0.24999997623911646,1,1
PM.eqn,Smithetal2011_groups.csv,no,MPTinR,PB/MLE,high_WM,C1,0.9446470090665592,0.004695113009822237,0.793897006264619,0.8803418826542733,1,1
PM.eqn,Smithetal2011_groups.csv,no,MPTinR,PB/MLE,high_WM,C2,0.9584323465577939,0.004919121429762121,0.8446610194223478,0.8983051061717491,1,1
PM.eqn,Smithetal2011_groups.csv,no,MPTinR,PB/MLE,high_WM,M,0.6939841847348341,0.03224899627711293,0,0.013988716365843538,1,1
PM.eqn,Smithetal2011_groups.csv,no,MPTinR,PB/MLE,high_WM,P,0.8734081326390767,0.018613422311646744,0.29375003852267123,0.624999971112753,1,1
PM.eqn,Smithetal2011_groups.csv,no,MPTinR,asymptotic,low_WM,C1,0.9381759725254067,0.007099355299585137,0.7613970625911302,0.8659834545781672,1,1
PM.eqn,Smithetal2011_groups.csv,no,MPTinR,asymptotic,low_WM,C2,0.9392928611345501,0.0059635870484234564,0.7903225760726016,0.8375644557478836,1,1
PM.eqn,Smithetal2011_groups.csv,no,MPTinR,asymptotic,low_WM,M,0.6578720530633356,0.03541116544872872,0,0,1,1
PM.eqn,Smithetal2011_groups.csv,no,MPTinR,asymptotic,low_WM,P,0.7612432748204868,0.02957688017951315,0,0.2499999933243299,1,1
PM.eqn,Smithetal2011_groups.csv,no,MPTinR,asymptotic,high_WM,C1,0.9446470090665592,0.004695113009822237,0.793897006264619,0.8803418826542733,1,1
PM.eqn,Smithetal2011_groups.csv,no,MPTinR,asymptotic,high_WM,C2,0.9584323465577939,0.004919121429762121,0.8446610194223478,0.8983051061717491,1,1
PM.eqn,Smithetal2011_groups.csv,no,MPTinR,asymptotic,high_WM,M,0.6864201842679939,0.03233961440588545,0,0.027977432731687076,1,1
PM.eqn,Smithetal2011_groups.csv,no,MPTinR,asymptotic,high_WM,P,0.8734081326390767,0.018613422311646744,0.29375003852267123,0.624999971112753,1,1
PM.eqn,Smithetal2011_groups.csv,complete,MPTinR,asymptotic,low_WM,C1,0.9381967826412271,0.0029937807719106436,0.9323290801506737,0.9343600982060877,0.9420334670763665,0.9440644851317804
PM.eqn,Smithetal2011_groups.csv,complete,MPTinR,asymptotic,low_WM,C2,0.9389164040222122,0.002981205652463127,0.9330733483128772,0.9350958352510876,0.9427369727933368,0.9447594597315472
PM.eqn,Smithetal2011_groups.csv,complete,MPTinR,asymptotic,low_WM,M,0.5102923758180431,0.021354901118277463,0.46843753873280514,0.48292496885786446,0.5376597827782217,0.5521472129032811
PM.eqn,Smithetal2011_groups.csv,complete,MPTinR,asymptotic,low_WM,P,1,0.04123014624531487,0.9191903982818636,0.9471614415316839,1.0528385584683162,1.0808096017181366
PM.eqn,Smithetal2011_groups.csv,complete,MPTinR,asymptotic,high_WM,C1,0.944689147230847,0.0027868979417088957,0.9392269276365087,0.9411175938106369,0.948260700651057,0.9501513668251852
PM.eqn,Smithetal2011_groups.csv,complete,MPTinR,asymptotic,high_WM,C2,0.9581553608919138,0.0024355636311859056,0.9533817438927338,0.955034060507384,0.9612766612764435,0.9629289778910938
PM.eqn,Smithetal2011_groups.csv,complete,MPTinR,asymptotic,high_WM,M,0.5771806648353284,0.01763022372658651,0.5426260612918353,0.5545866240176198,0.5997747056530369,0.6117352683788214
PM.eqn,Smithetal2011_groups.csv,complete,MPTinR,asymptotic,high_WM,P,1,0.031065921708822698,0.9391119123041665,0.9601874193989722,1.0398125806010277,1.0608880876958335
PM.eqn,Smithetal2011_groups.csv,no,TreeBUGS,simple,low_WM,C1,0.9225866422763207,0.00316757319180213,0.9163516333097013,0.9185689375853967,0.9265580610585811,0.9286645342438794
PM.eqn,Smithetal2011_groups.csv,no,TreeBUGS,simple,low_WM,C2,0.9237362427264783,0.0031595962639937025,0.9174539178408508,0.9196297707596128,0.9279193573735341,0.9296633508422972
PM.eqn,Smithetal2011_groups.csv,no,TreeBUGS,simple,low_WM,M,0.620959420715108,0.014069436277994686,0.5933798703641869,0.6031441517620664,0.6389518687981577,0.6481730831988115
PM.eqn,Smithetal2011_groups.csv,no,TreeBUGS,simple,low_WM,P,0.7264794152452251,0.01275046745744261,0.6990156413508509,0.7097223065177921,0.7422847920303495,0.7496717296858676
PM.eqn,Smithetal2011_groups.csv,no,TreeBUGS,simple,high_WM,C1,0.9289378784389983,0.003131554941765292,0.9228151880732268,0.9249034662822919,0.9328977396444307,0.9348715851637317
