model,dataset,pooling,package,method,condition,type,focus,stat_obs,stat_pred,stat_df,p
PM.eqn,Smithetal2011_groups.csv,no,MPTinR,PB/MLE,low_WM,pb-G2,mean,468.137539676232,NA,448,0.09090909090909091
PM.eqn,Smithetal2011_groups.csv,no,MPTinR,PB/MLE,high_WM,pb-G2,mean,577.8639721249835,NA,468,0.09090909090909091
PM.eqn,Smithetal2011_groups.csv,no,MPTinR,asymptotic,low_WM,G2,mean,468.137539676232,NA,448,0.24663528696212403
PM.eqn,Smithetal2011_groups.csv,no,MPTinR,asymptotic,high_WM,G2,mean,577.8639721249835,NA,468,3.8333633437725426e-4
PM.eqn,Smithetal2011_groups.csv,complete,MPTinR,asymptotic,low_WM,G2,mean,13.93543532638978,NA,4,0.007503996172224425
PM.eqn,Smithetal2011_groups.csv,complete,MPTinR,asymptotic,high_WM,G2,mean,79.74202189289826,NA,4,1.9754013134332005e-16
PM.eqn,Smithetal2011_groups.csv,no,TreeBUGS,simple,low_WM,T1_G2,mean,1.3680388291501981,0.06302436954229192,NA,0
PM.eqn,Smithetal2011_groups.csv,no,TreeBUGS,simple,high_WM,T1_G2,mean,2.3010513341427474,0.07249118662850695,NA,0
PM.eqn,Smithetal2011_groups.csv,no,TreeBUGS,simple,low_WM,T2,cov,30.781020133796734,9.538630308562189,NA,0
PM.eqn,Smithetal2011_groups.csv,no,TreeBUGS,simple,high_WM,T2,cov,51.87447236122718,5.923034211540208,NA,0
PM.eqn,Smithetal2011_groups.csv,complete,TreeBUGS,simple,low_WM,T1_G2,mean,27.06516332920164,8.037673352469556,NA,0
PM.eqn,Smithetal2011_groups.csv,complete,TreeBUGS,simple,high_WM,T1_G2,mean,89.28887527315213,8.429630497091463,NA,0
PM.eqn,Smithetal2011_groups.csv,partial,TreeBUGS,trait,low_WM,T1_G2,mean,0.3439844368606273,0.05569657016009427,NA,0
PM.eqn,Smithetal2011_groups.csv,partial,TreeBUGS,trait,high_WM,T1_G2,mean,0.8153462984306497,0.05688231235257755,NA,0
PM.eqn,Smithetal2011_groups.csv,partial,TreeBUGS,trait,low_WM,T2,cov,10.090203469365937,4.9790066174636785,NA,0.1
PM.eqn,Smithetal2011_groups.csv,partial,TreeBUGS,trait,high_WM,T2,cov,21.292168207097426,4.995681884658091,NA,0.1
PM.eqn,Smithetal2011_groups.csv,partial,TreeBUGS,trait_uncorrelated,low_WM,T1_G2,mean,0.30116687862814556,0.05943349819994431,NA,0
PM.eqn,Smithetal2011_groups.csv,partial,TreeBUGS,trait_uncorrelated,high_WM,T1_G2,mean,0.7562089674217184,0.05270846209559885,NA,0
PM.eqn,Smithetal2011_groups.csv,partial,TreeBUGS,trait_uncorrelated,low_WM,T2,cov,12.985339855450704,5.353646079361421,NA,0.1
PM.eqn,Smithetal2011_groups.csv,partial,TreeBUGS,trait_uncorrelated,high_WM,T2,cov,22.121000294515653,4.410677294298139,NA,0
