PM1,Yes1,No1,PM2,Yes2,No2,PM3,Yes3,No3,PM4,Yes4,No4
0,8,0,0,1,7,0,113,3,0,1,115
8,0,0,8,0,0,0,114,2,0,0,116
2,6,0,2,2,4,5,101,10,1,2,113
3,4,1,2,0,6,0,104,12,0,3,113
3,5,0,4,2,2,0,115,1,1,1,114
3,5,0,3,0,5,0,114,2,0,8,108
6,2,0,7,0,1,3,112,1,1,1,114
5,3,0,7,0,1,0,115,1,0,0,116
4,4,0,7,0,1,2,114,0,2,0,114
2,5,1,4,0,4,2,104,10,4,3,109
6,2,0,8,0,0,1,112,3,1,0,115
0,8,0,0,0,8,1,110,5,1,6,109
8,0,0,7,0,1,0,113,3,0,1,115
7,1,0,3,0,5,1,113,2,0,3,113
7,1,0,8,0,0,0,115,1,0,4,112
8,0,0,8,0,0,0,115,1,0,3,113
8,0,0,8,0,0,0,110,6,1,2,113
0,8,0,0,0,8,1,113,2,2,0,114
6,2,0,7,0,1,0,114,2,0,0,116
7,1,0,6,0,2,0,110,6,0,2,114
7,1,0,7,0,1,0,114,2,0,0,116
6,2,0,5,0,3,2,111,3,1,0,115
1,7,0,4,0,4,1,106,9,6,13,97
0,8,0,0,0,8,0,114,2,2,8,106
3,5,0,4,0,4,0,115,1,0,5,111
6,2,0,5,0,3,1,115,0,0,0,116
3,5,0,7,0,1,0,114,2,0,1,115
6,2,0,8,0,0,0,113,3,0,3,113
5,3,0,0,0,8,0,114,2,0,1,115
4,4,0,8,0,0,0,113,3,1,0,115
0,8,0,8,0,0,0,113,3,2,0,114
8,0,0,8,0,0,0,109,7,2,1,113
4,4,0,6,0,2,0,111,5,1,5,110
6,2,0,6,0,2,2,111,3,0,0,116
6,2,0,6,0,2,1,113,2,1,6,109
8,0,0,8,0,0,0,115,1,0,0,116
7,1,0,6,0,2,0,114,2,0,1,115
7,1,0,8,0,0,2,101,13,1,5,110
4,3,1,4,0,4,5,106,5,4,2,110
1,7,0,0,0,8,2,104,10,0,3,113
0,6,2,0,0,8,0,112,4,0,3,113
1,7,0,0,1,7,4,108,4,0,7,109
0,7,1,0,4,4,0,115,1,1,0,115
0,8,0,0,0,8,4,109,3,1,11,104
7,1,0,7,0,1,0,115,1,0,1,115
0,7,1,0,0,8,0,113,3,1,1,114
7,1,0,4,0,4,1,114,1,0,3,113
3,5,0,6,1,1,1,112,3,0,5,111
5,3,0,8,0,0,1,110,5,0,0,116
7,1,0,4,0,4,0,115,1,0,9,107
6,2,0,6,0,2,0,112,4,0,1,115
3,5,0,3,2,3,2,105,9,2,0,114
6,2,0,7,0,1,0,115,1,0,2,114
0,7,1,0,0,8,5,103,8,1,1,114
0,8,0,0,0,8,2,114,0,2,0,114
4,4,0,3,0,5,0,114,2,0,0,116
5,3,0,6,0,2,0,112,4,1,0,115
6,2,0,1,0,7,0,115,1,0,3,113
4,4,0,4,0,4,3,111,2,3,3,110
5,3,0,6,0,2,1,113,2,1,7,108
0,6,2,0,1,7,3,108,5,2,4,110
6,2,0,8,0,0,0,112,4,0,5,111
3,5,0,0,2,6,0,106,10,0,11,105
4,4,0,6,1,1,0,112,4,0,1,115
0,8,0,0,0,8,1,115,0,2,1,113
0,8,0,0,1,7,1,115,0,2,10,104
6,2,0,7,0,1,1,110,5,2,2,112
0,8,0,1,0,7,0,111,5,0,2,114
8,0,0,7,0,1,0,111,5,0,4,112
4,4,0,6,0,2,3,109,4,3,2,111
8,0,0,8,0,0,2,110,4,2,0,114
0,8,0,1,1,6,0,115,1,1,8,107
8,0,0,7,0,1,0,115,1,0,0,116
7,1,0,6,0,2,0,114,2,0,2,114
0,8,0,0,0,8,1,115,0,2,3,111
0,8,0,0,1,7,0,114,2,0,7,109
7,1,0,8,0,0,1,113,2,0,4,112
